dteday,holiday,workingday,weathersit,temp,casual,registered,cnt,temp_celsius,temp_cluster
2011-01-01,0,0,2,0.344167,331,654,985,14.110847,Low
2011-01-02,0,0,2,0.363478,131,670,801,14.902598000000001,Low
2011-01-03,0,1,1,0.196364,120,1229,1349,8.050924,Low
2011-01-04,0,1,1,0.2,108,1454,1562,8.200000000000001,Low
2011-01-05,0,1,1,0.226957,82,1518,1600,9.305237,Low
2011-01-06,0,1,1,0.204348,88,1518,1606,8.378268,Low
2011-01-07,0,1,2,0.196522,148,1362,1510,8.057402,Low
2011-01-08,0,0,2,0.165,68,891,959,6.765000000000001,Low
2011-01-09,0,0,1,0.138333,54,768,822,5.671653,Low
2011-01-10,0,1,1,0.150833,41,1280,1321,6.184153,Low
2011-01-11,0,1,2,0.169091,43,1220,1263,6.9327309999999995,Low
2011-01-12,0,1,1,0.172727,25,1137,1162,7.0818069999999995,Low
2011-01-13,0,1,1,0.165,38,1368,1406,6.765000000000001,Low
2011-01-14,0,1,1,0.16087,54,1367,1421,6.59567,Low
2011-01-15,0,0,2,0.233333,222,1026,1248,9.566653,Low
2011-01-16,0,0,1,0.231667,251,953,1204,9.498347,Low
2011-01-17,1,0,2,0.175833,117,883,1000,7.209153,Low
2011-01-18,0,1,2,0.216667,9,674,683,8.883347,Low
2011-01-19,0,1,2,0.292174,78,1572,1650,11.979134,Low
2011-01-20,0,1,2,0.261667,83,1844,1927,10.728347,Low
2011-01-21,0,1,1,0.1775,75,1468,1543,7.2775,Low
2011-01-22,0,0,1,0.0591304,93,888,981,2.4243464,Low
2011-01-23,0,0,1,0.0965217,150,836,986,3.9573897000000002,Low
2011-01-24,0,1,1,0.0973913,86,1330,1416,3.9930433,Low
2011-01-25,0,1,2,0.223478,186,1799,1985,9.162598000000001,Low
2011-01-26,0,1,3,0.2175,34,472,506,8.9175,Low
2011-01-27,0,1,1,0.195,15,416,431,7.995,Low
2011-01-28,0,1,2,0.203478,38,1129,1167,8.342597999999999,Low
2011-01-29,0,0,1,0.196522,123,975,1098,8.057402,Low
2011-01-30,0,0,1,0.216522,140,956,1096,8.877402,Low
2011-01-31,0,1,2,0.180833,42,1459,1501,7.414153,Low
2011-02-01,0,1,2,0.192174,47,1313,1360,7.8791340000000005,Low
2011-02-02,0,1,2,0.26,72,1454,1526,10.66,Low
2011-02-03,0,1,1,0.186957,61,1489,1550,7.665237,Low
2011-02-04,0,1,2,0.211304,88,1620,1708,8.663464,Low
2011-02-05,0,0,2,0.233333,100,905,1005,9.566653,Low
2011-02-06,0,0,1,0.285833,354,1269,1623,11.719153,Low
2011-02-07,0,1,1,0.271667,120,1592,1712,11.138347,Low
2011-02-08,0,1,1,0.220833,64,1466,1530,9.054153,Low
2011-02-09,0,1,2,0.134783,53,1552,1605,5.526102999999999,Low
2011-02-10,0,1,1,0.144348,47,1491,1538,5.918268,Low
2011-02-11,0,1,1,0.189091,149,1597,1746,7.752731000000001,Low
2011-02-12,0,0,1,0.2225,288,1184,1472,9.1225,Low
2011-02-13,0,0,1,0.316522,397,1192,1589,12.977402000000001,Low
2011-02-14,0,1,1,0.415,208,1705,1913,17.015,Medium
2011-02-15,0,1,1,0.266087,140,1675,1815,10.909567000000001,Low
2011-02-16,0,1,1,0.318261,218,1897,2115,13.048701000000001,Low
2011-02-17,0,1,1,0.435833,259,2216,2475,17.869153,Medium
2011-02-18,0,1,1,0.521667,579,2348,2927,21.388347,Medium
2011-02-19,0,0,1,0.399167,532,1103,1635,16.365847,Medium
2011-02-20,0,0,1,0.285217,639,1173,1812,11.693897,Low
2011-02-21,1,0,2,0.303333,195,912,1107,12.436653000000002,Low
2011-02-22,0,1,1,0.182222,74,1376,1450,7.471102,Low
2011-02-23,0,1,1,0.221739,139,1778,1917,9.091299,Low
2011-02-24,0,1,2,0.295652,100,1707,1807,12.121732000000002,Low
2011-02-25,0,1,2,0.364348,120,1341,1461,14.938268,Low
2011-02-26,0,0,1,0.2825,424,1545,1969,11.5825,Low
2011-02-27,0,0,1,0.343478,694,1708,2402,14.082598,Low
2011-02-28,0,1,2,0.407273,81,1365,1446,16.698193,Medium
2011-03-01,0,1,1,0.266667,137,1714,1851,10.933347,Low
2011-03-02,0,1,1,0.335,231,1903,2134,13.735000000000001,Low
2011-03-03,0,1,1,0.198333,123,1562,1685,8.131653,Low
2011-03-04,0,1,2,0.261667,214,1730,1944,10.728347,Low
2011-03-05,0,0,2,0.384167,640,1437,2077,15.750846999999998,Medium
2011-03-06,0,0,2,0.376522,114,491,605,15.437402,Medium
2011-03-07,0,1,1,0.261739,244,1628,1872,10.731299,Low
2011-03-08,0,1,1,0.2925,316,1817,2133,11.9925,Low
2011-03-09,0,1,2,0.295833,191,1700,1891,12.129153,Low
2011-03-10,0,1,3,0.389091,46,577,623,15.952731,Medium
2011-03-11,0,1,2,0.316522,247,1730,1977,12.977402000000001,Low
2011-03-12,0,0,1,0.329167,724,1408,2132,13.495847,Low
2011-03-13,0,0,1,0.384348,982,1435,2417,15.758268000000001,Medium
2011-03-14,0,1,1,0.325217,359,1687,2046,13.333896999999999,Low
2011-03-15,0,1,2,0.317391,289,1767,2056,13.013031,Low
2011-03-16,0,1,2,0.365217,321,1871,2192,14.973897000000001,Low
2011-03-17,0,1,1,0.415,424,2320,2744,17.015,Medium
2011-03-18,0,1,1,0.54,884,2355,3239,22.14,Medium
2011-03-19,0,0,1,0.4725,1424,1693,3117,19.3725,Medium
2011-03-20,0,0,1,0.3325,1047,1424,2471,13.6325,Low
2011-03-21,0,1,2,0.430435,401,1676,2077,17.647835,Medium
2011-03-22,0,1,1,0.441667,460,2243,2703,18.108347,Medium
2011-03-23,0,1,2,0.346957,203,1918,2121,14.225237,Low
2011-03-24,0,1,2,0.285,166,1699,1865,11.684999999999999,Low
2011-03-25,0,1,1,0.264167,300,1910,2210,10.830846999999999,Low
2011-03-26,0,0,1,0.265833,981,1515,2496,10.899153,Low
2011-03-27,0,0,2,0.253043,472,1221,1693,10.374763000000002,Low
2011-03-28,0,1,1,0.264348,222,1806,2028,10.838268000000001,Low
2011-03-29,0,1,1,0.3025,317,2108,2425,12.4025,Low
2011-03-30,0,1,2,0.3,168,1368,1536,12.299999999999999,Low
2011-03-31,0,1,3,0.268333,179,1506,1685,11.001653,Low
2011-04-01,0,1,2,0.3,307,1920,2227,12.299999999999999,Low
2011-04-02,0,0,2,0.315,898,1354,2252,12.915000000000001,Low
2011-04-03,0,0,1,0.378333,1651,1598,3249,15.511652999999999,Medium
2011-04-04,0,1,1,0.573333,734,2381,3115,23.506653,Medium
2011-04-05,0,1,2,0.414167,167,1628,1795,16.980847,Medium
2011-04-06,0,1,1,0.390833,413,2395,2808,16.024153,Medium
2011-04-07,0,1,1,0.4375,571,2570,3141,17.9375,Medium
2011-04-08,0,1,2,0.335833,172,1299,1471,13.769153,Low
2011-04-09,0,0,2,0.3425,879,1576,2455,14.0425,Low
2011-04-10,0,0,2,0.426667,1188,1707,2895,17.493347,Medium
2011-04-11,0,1,2,0.595652,855,2493,3348,24.421732,Medium
2011-04-12,0,1,2,0.5025,257,1777,2034,20.6025,Medium
2011-04-13,0,1,2,0.4125,209,1953,2162,16.912499999999998,Medium
2011-04-14,0,1,1,0.4675,529,2738,3267,19.1675,Medium
2011-04-15,1,0,1,0.446667,642,2484,3126,18.313347,Medium
2011-04-16,0,0,3,0.430833,121,674,795,17.664153000000002,Medium
2011-04-17,0,0,1,0.456667,1558,2186,3744,18.723347,Medium
2011-04-18,0,1,1,0.5125,669,2760,3429,21.0125,Medium
2011-04-19,0,1,2,0.505833,409,2795,3204,20.739152999999998,Medium
2011-04-20,0,1,1,0.595,613,3331,3944,24.395,Medium
2011-04-21,0,1,1,0.459167,745,3444,4189,18.825847,Medium
2011-04-22,0,1,2,0.336667,177,1506,1683,13.803347,Low
2011-04-23,0,0,2,0.46,1462,2574,4036,18.86,Medium
2011-04-24,0,0,2,0.581667,1710,2481,4191,23.848347,Medium
2011-04-25,0,1,1,0.606667,773,3300,4073,24.873347,Medium
2011-04-26,0,1,1,0.631667,678,3722,4400,25.898346999999998,Medium
2011-04-27,0,1,2,0.62,547,3325,3872,25.419999999999998,Medium
2011-04-28,0,1,2,0.6175,569,3489,4058,25.317500000000003,Medium
2011-04-29,0,1,1,0.51,878,3717,4595,20.91,Medium
2011-04-30,0,0,1,0.4725,1965,3347,5312,19.3725,Medium
2011-05-01,0,0,2,0.451667,1138,2213,3351,18.518347,Medium
2011-05-02,0,1,2,0.549167,847,3554,4401,22.515846999999997,Medium
2011-05-03,0,1,2,0.616667,603,3848,4451,25.283347,Medium
2011-05-04,0,1,2,0.414167,255,2378,2633,16.980847,Medium
2011-05-05,0,1,1,0.459167,614,3819,4433,18.825847,Medium
2011-05-06,0,1,1,0.479167,894,3714,4608,19.645847,Medium
2011-05-07,0,0,1,0.52,1612,3102,4714,21.32,Medium
2011-05-08,0,0,1,0.528333,1401,2932,4333,21.661653,Medium
2011-05-09,0,1,1,0.5325,664,3698,4362,21.8325,Medium
2011-05-10,0,1,1,0.5325,694,4109,4803,21.8325,Medium
2011-05-11,0,1,1,0.5425,550,3632,4182,22.2425,Medium
2011-05-12,0,1,1,0.535,695,4169,4864,21.935000000000002,Medium
2011-05-13,0,1,2,0.5125,692,3413,4105,21.0125,Medium
2011-05-14,0,0,2,0.520833,902,2507,3409,21.354153,Medium
2011-05-15,0,0,2,0.5625,1582,2971,4553,23.0625,Medium
2011-05-16,0,1,1,0.5775,773,3185,3958,23.677500000000002,Medium
2011-05-17,0,1,2,0.561667,678,3445,4123,23.028347,Medium
2011-05-18,0,1,2,0.55,536,3319,3855,22.55,Medium
2011-05-19,0,1,2,0.530833,735,3840,4575,21.764153,Medium
2011-05-20,0,1,1,0.536667,909,4008,4917,22.003347,Medium
2011-05-21,0,0,1,0.6025,2258,3547,5805,24.7025,Medium
2011-05-22,0,0,1,0.604167,1576,3084,4660,24.770847,Medium
2011-05-23,0,1,2,0.631667,836,3438,4274,25.898346999999998,Medium
2011-05-24,0,1,2,0.66,659,3833,4492,27.060000000000002,Medium
2011-05-25,0,1,1,0.660833,740,4238,4978,27.094153,Medium
2011-05-26,0,1,1,0.708333,758,3919,4677,29.041653,Medium
2011-05-27,0,1,1,0.681667,871,3808,4679,27.948347000000002,Medium
2011-05-28,0,0,1,0.655833,2001,2757,4758,26.889153,Medium
2011-05-29,0,0,1,0.6675,2355,2433,4788,27.3675,Medium
2011-05-30,1,0,1,0.733333,1549,2549,4098,30.066653000000002,High
2011-05-31,0,1,1,0.775,673,3309,3982,31.775000000000002,High
2011-06-01,0,1,2,0.764167,513,3461,3974,31.330847000000002,High
2011-06-02,0,1,1,0.715,736,4232,4968,29.314999999999998,Medium
2011-06-03,0,1,1,0.62,898,4414,5312,25.419999999999998,Medium
2011-06-04,0,0,1,0.635,1869,3473,5342,26.035,Medium
2011-06-05,0,0,2,0.648333,1685,3221,4906,26.581653000000003,Medium
2011-06-06,0,1,1,0.678333,673,3875,4548,27.811653,Medium
2011-06-07,0,1,1,0.7075,763,4070,4833,29.0075,Medium
2011-06-08,0,1,1,0.775833,676,3725,4401,31.809153,High
2011-06-09,0,1,2,0.808333,563,3352,3915,33.141653,High
2011-06-10,0,1,1,0.755,815,3771,4586,30.955000000000002,High
2011-06-11,0,0,1,0.725,1729,3237,4966,29.724999999999998,Medium
2011-06-12,0,0,1,0.6925,1467,2993,4460,28.392500000000002,Medium
2011-06-13,0,1,1,0.635,863,4157,5020,26.035,Medium
2011-06-14,0,1,1,0.604167,727,4164,4891,24.770847,Medium
2011-06-15,0,1,1,0.626667,769,4411,5180,25.693347,Medium
2011-06-16,0,1,2,0.628333,545,3222,3767,25.761653000000003,Medium
2011-06-17,0,1,1,0.649167,863,3981,4844,26.615847000000002,Medium
2011-06-18,0,0,1,0.696667,1807,3312,5119,28.563347,Medium
2011-06-19,0,0,2,0.699167,1639,3105,4744,28.665847,Medium
2011-06-20,0,1,2,0.635,699,3311,4010,26.035,Medium
2011-06-21,0,1,2,0.680833,774,4061,4835,27.914153000000002,Medium
2011-06-22,0,1,1,0.733333,661,3846,4507,30.066653000000002,High
2011-06-23,0,1,2,0.728333,746,4044,4790,29.861653,Medium
2011-06-24,0,1,1,0.724167,969,4022,4991,29.690847,Medium
2011-06-25,0,0,1,0.695,1782,3420,5202,28.494999999999997,Medium
2011-06-26,0,0,1,0.68,1920,3385,5305,27.880000000000003,Medium
2011-06-27,0,1,2,0.6825,854,3854,4708,27.982499999999998,Medium
2011-06-28,0,1,1,0.744167,732,3916,4648,30.510847000000002,High
2011-06-29,0,1,1,0.728333,848,4377,5225,29.861653,Medium
2011-06-30,0,1,1,0.696667,1027,4488,5515,28.563347,Medium
2011-07-01,0,1,1,0.7225,1246,4116,5362,29.622500000000002,Medium
2011-07-02,0,0,1,0.738333,2204,2915,5119,30.271653,High
2011-07-03,0,0,2,0.716667,2282,2367,4649,29.383347,Medium
2011-07-04,1,0,2,0.726667,3065,2978,6043,29.793346999999997,Medium
2011-07-05,0,1,1,0.746667,1031,3634,4665,30.613346999999997,High
2011-07-06,0,1,1,0.72,784,3845,4629,29.52,Medium
2011-07-07,0,1,1,0.75,754,3838,4592,30.75,High
2011-07-08,0,1,2,0.709167,692,3348,4040,29.075847,Medium
2011-07-09,0,0,1,0.733333,1988,3348,5336,30.066653000000002,High
2011-07-10,0,0,1,0.7475,1743,3138,4881,30.6475,High
2011-07-11,0,1,1,0.7625,723,3363,4086,31.2625,High
2011-07-12,0,1,1,0.794167,662,3596,4258,32.560846999999995,High
2011-07-13,0,1,1,0.746667,748,3594,4342,30.613346999999997,High
2011-07-14,0,1,1,0.680833,888,4196,5084,27.914153000000002,Medium
2011-07-15,0,1,1,0.663333,1318,4220,5538,27.196652999999998,Medium
2011-07-16,0,0,1,0.686667,2418,3505,5923,28.153347,Medium
2011-07-17,0,0,1,0.719167,2006,3296,5302,29.485847,Medium
2011-07-18,0,1,1,0.746667,841,3617,4458,30.613346999999997,High
2011-07-19,0,1,1,0.776667,752,3789,4541,31.843347,High
2011-07-20,0,1,1,0.768333,644,3688,4332,31.501653,High
2011-07-21,0,1,2,0.815,632,3152,3784,33.415,High
2011-07-22,0,1,1,0.848333,562,2825,3387,34.781653,High
2011-07-23,0,0,1,0.849167,987,2298,3285,34.815847,High
2011-07-24,0,0,1,0.83,1050,2556,3606,34.03,High
2011-07-25,0,1,1,0.743333,568,3272,3840,30.476653000000002,High
2011-07-26,0,1,1,0.771667,750,3840,4590,31.638347,High
2011-07-27,0,1,1,0.775,755,3901,4656,31.775000000000002,High
2011-07-28,0,1,1,0.779167,606,3784,4390,31.945847,High
2011-07-29,0,1,1,0.838333,670,3176,3846,34.371653,High
2011-07-30,0,0,1,0.804167,1559,2916,4475,32.970847,High
2011-07-31,0,0,1,0.805833,1524,2778,4302,33.039153,High
2011-08-01,0,1,1,0.771667,729,3537,4266,31.638347,High
2011-08-02,0,1,1,0.783333,801,4044,4845,32.116653,High
2011-08-03,0,1,2,0.731667,467,3107,3574,29.998347,Medium
2011-08-04,0,1,2,0.71,799,3777,4576,29.11,Medium
2011-08-05,0,1,1,0.710833,1023,3843,4866,29.144153000000003,Medium
2011-08-06,0,0,2,0.716667,1521,2773,4294,29.383347,Medium
2011-08-07,0,0,1,0.7425,1298,2487,3785,30.442500000000003,High
2011-08-08,0,1,1,0.765,846,3480,4326,31.365000000000002,High
2011-08-09,0,1,1,0.775,907,3695,4602,31.775000000000002,High
2011-08-10,0,1,1,0.766667,884,3896,4780,31.433346999999998,High
2011-08-11,0,1,1,0.7175,812,3980,4792,29.4175,Medium
2011-08-12,0,1,1,0.708333,1051,3854,4905,29.041653,Medium
2011-08-13,0,0,2,0.685833,1504,2646,4150,28.119153,Medium
2011-08-14,0,0,2,0.676667,1338,2482,3820,27.743347,Medium
2011-08-15,0,1,1,0.665833,775,3563,4338,27.299153,Medium
2011-08-16,0,1,1,0.700833,721,4004,4725,28.734153000000003,Medium
2011-08-17,0,1,1,0.723333,668,4026,4694,29.656653,Medium
2011-08-18,0,1,1,0.711667,639,3166,3805,29.178347000000002,Medium
2011-08-19,0,1,2,0.685,797,3356,4153,28.085,Medium
2011-08-20,0,0,1,0.6975,1914,3277,5191,28.5975,Medium
2011-08-21,0,0,1,0.710833,1249,2624,3873,29.144153000000003,Medium
2011-08-22,0,1,1,0.691667,833,3925,4758,28.358347000000002,Medium
2011-08-23,0,1,1,0.640833,1281,4614,5895,26.274153,Medium
2011-08-24,0,1,1,0.673333,949,4181,5130,27.606652999999998,Medium
2011-08-25,0,1,2,0.684167,435,3107,3542,28.050846999999997,Medium
2011-08-26,0,1,1,0.7,768,3893,4661,28.7,Medium
2011-08-27,0,0,2,0.68,226,889,1115,27.880000000000003,Medium
2011-08-28,0,0,1,0.707059,1415,2919,4334,28.989418999999998,Medium
2011-08-29,0,1,1,0.636667,729,3905,4634,26.103347,Medium
2011-08-30,0,1,1,0.639167,775,4429,5204,26.205847000000002,Medium
2011-08-31,0,1,1,0.656667,688,4370,5058,26.923347,Medium
2011-09-01,0,1,1,0.655,783,4332,5115,26.855,Medium
2011-09-02,0,1,2,0.643333,875,3852,4727,26.376653,Medium
2011-09-03,0,0,1,0.669167,1935,2549,4484,27.435847,Medium
2011-09-04,0,0,1,0.709167,2521,2419,4940,29.075847,Medium
2011-09-05,1,0,2,0.673333,1236,2115,3351,27.606652999999998,Medium
2011-09-06,0,1,3,0.54,204,2506,2710,22.14,Medium
2011-09-07,0,1,3,0.599167,118,1878,1996,24.565847,Medium
2011-09-08,0,1,3,0.633913,153,1689,1842,25.990433,Medium
2011-09-09,0,1,2,0.65,417,3127,3544,26.650000000000002,Medium
2011-09-10,0,0,1,0.66,1750,3595,5345,27.060000000000002,Medium
2011-09-11,0,0,1,0.653333,1633,3413,5046,26.786653,Medium
2011-09-12,0,1,1,0.644348,690,4023,4713,26.418268,Medium
2011-09-13,0,1,1,0.650833,701,4062,4763,26.684153,Medium
2011-09-14,0,1,1,0.673333,647,4138,4785,27.606652999999998,Medium
2011-09-15,0,1,2,0.5775,428,3231,3659,23.677500000000002,Medium
2011-09-16,0,1,2,0.469167,742,4018,4760,19.235847,Medium
2011-09-17,0,0,2,0.491667,1434,3077,4511,20.158347,Medium
2011-09-18,0,0,1,0.5075,1353,2921,4274,20.807499999999997,Medium
2011-09-19,0,1,2,0.549167,691,3848,4539,22.515846999999997,Medium
2011-09-20,0,1,2,0.561667,438,3203,3641,23.028347,Medium
2011-09-21,0,1,2,0.595,539,3813,4352,24.395,Medium
2011-09-22,0,1,2,0.628333,555,4240,4795,25.761653000000003,Medium
2011-09-23,0,1,2,0.609167,258,2137,2395,24.975847,Medium
2011-09-24,0,0,2,0.606667,1776,3647,5423,24.873347,Medium
2011-09-25,0,0,2,0.634167,1544,3466,5010,26.000847,Medium
2011-09-26,0,1,2,0.649167,684,3946,4630,26.615847000000002,Medium
2011-09-27,0,1,2,0.636667,477,3643,4120,26.103347,Medium
2011-09-28,0,1,2,0.635,480,3427,3907,26.035,Medium
2011-09-29,0,1,1,0.616667,653,4186,4839,25.283347,Medium
2011-09-30,0,1,1,0.564167,830,4372,5202,23.130847,Medium
2011-10-01,0,0,2,0.41,480,1949,2429,16.81,Medium
2011-10-02,0,0,2,0.356667,616,2302,2918,14.623347,Low
2011-10-03,0,1,2,0.384167,330,3240,3570,15.750846999999998,Medium
2011-10-04,0,1,1,0.484167,486,3970,4456,19.850847,Medium
2011-10-05,0,1,1,0.538333,559,4267,4826,22.071652999999998,Medium
2011-10-06,0,1,1,0.494167,639,4126,4765,20.260847000000002,Medium
2011-10-07,0,1,1,0.510833,949,4036,4985,20.944153,Medium
2011-10-08,0,0,1,0.521667,2235,3174,5409,21.388347,Medium
2011-10-09,0,0,1,0.540833,2397,3114,5511,22.174153,Medium
2011-10-10,1,0,1,0.570833,1514,3603,5117,23.404153,Medium
2011-10-11,0,1,2,0.566667,667,3896,4563,23.233347000000002,Medium
2011-10-12,0,1,3,0.543333,217,2199,2416,22.276653,Medium
2011-10-13,0,1,2,0.589167,290,2623,2913,24.155847,Medium
2011-10-14,0,1,2,0.550833,529,3115,3644,22.584153,Medium
2011-10-15,0,0,1,0.506667,1899,3318,5217,20.773346999999998,Medium
2011-10-16,0,0,1,0.511667,1748,3293,5041,20.978347,Medium
2011-10-17,0,1,1,0.534167,713,3857,4570,21.900847,Medium
2011-10-18,0,1,2,0.5325,637,4111,4748,21.8325,Medium
2011-10-19,0,1,3,0.541739,254,2170,2424,22.211299,Medium
2011-10-20,0,1,1,0.475833,471,3724,4195,19.509153,Medium
2011-10-21,0,1,1,0.4275,676,3628,4304,17.5275,Medium
2011-10-22,0,0,1,0.4225,1499,2809,4308,17.322499999999998,Medium
2011-10-23,0,0,1,0.421667,1619,2762,4381,17.288347,Medium
2011-10-24,0,1,1,0.463333,699,3488,4187,18.996653,Medium
2011-10-25,0,1,1,0.471667,695,3992,4687,19.338347,Medium
2011-10-26,0,1,2,0.484167,404,3490,3894,19.850847,Medium
2011-10-27,0,1,2,0.47,240,2419,2659,19.27,Medium
2011-10-28,0,1,2,0.330833,456,3291,3747,13.564153,Low
2011-10-29,0,0,3,0.254167,57,570,627,10.420846999999998,Low
2011-10-30,0,0,1,0.319167,885,2446,3331,13.085847,Low
2011-10-31,0,1,1,0.34,362,3307,3669,13.940000000000001,Low
2011-11-01,0,1,1,0.400833,410,3658,4068,16.434153,Medium
2011-11-02,0,1,1,0.3775,370,3816,4186,15.477500000000001,Medium
2011-11-03,0,1,1,0.408333,318,3656,3974,16.741653,Medium
2011-11-04,0,1,2,0.403333,470,3576,4046,16.536653,Medium
2011-11-05,0,0,1,0.326667,1156,2770,3926,13.393346999999999,Low
2011-11-06,0,0,1,0.348333,952,2697,3649,14.281653,Low
2011-11-07,0,1,1,0.395,373,3662,4035,16.195,Medium
2011-11-08,0,1,1,0.408333,376,3829,4205,16.741653,Medium
2011-11-09,0,1,1,0.4,305,3804,4109,16.400000000000002,Medium
2011-11-10,0,1,2,0.38,190,2743,2933,15.58,Medium
2011-11-11,1,0,1,0.324167,440,2928,3368,13.290847,Low
2011-11-12,0,0,1,0.356667,1275,2792,4067,14.623347,Low
2011-11-13,0,0,1,0.440833,1004,2713,3717,18.074153,Medium
2011-11-14,0,1,1,0.53,595,3891,4486,21.73,Medium
2011-11-15,0,1,2,0.53,449,3746,4195,21.73,Medium
2011-11-16,0,1,3,0.456667,145,1672,1817,18.723347,Medium
2011-11-17,0,1,2,0.341667,139,2914,3053,14.008347,Low
2011-11-18,0,1,1,0.274167,245,3147,3392,11.240847,Low
2011-11-19,0,0,1,0.329167,943,2720,3663,13.495847,Low
2011-11-20,0,0,2,0.463333,787,2733,3520,18.996653,Medium
2011-11-21,0,1,3,0.4475,220,2545,2765,18.3475,Medium
2011-11-22,0,1,3,0.416667,69,1538,1607,17.083347,Medium
2011-11-23,0,1,2,0.440833,112,2454,2566,18.074153,Medium
2011-11-24,1,0,1,0.373333,560,935,1495,15.306653,Medium
2011-11-25,0,1,1,0.375,1095,1697,2792,15.375,Medium
2011-11-26,0,0,1,0.375833,1249,1819,3068,15.409152999999998,Medium
2011-11-27,0,0,1,0.459167,810,2261,3071,18.825847,Medium
2011-11-28,0,1,1,0.503478,253,3614,3867,20.642598,Medium
2011-11-29,0,1,2,0.458333,96,2818,2914,18.791653,Medium
2011-11-30,0,1,1,0.325,188,3425,3613,13.325000000000001,Low
2011-12-01,0,1,1,0.3125,182,3545,3727,12.8125,Low
2011-12-02,0,1,1,0.314167,268,3672,3940,12.880847,Low
2011-12-03,0,0,1,0.299167,706,2908,3614,12.265847,Low
2011-12-04,0,0,1,0.330833,634,2851,3485,13.564153,Low
2011-12-05,0,1,2,0.385833,233,3578,3811,15.819153,Medium
2011-12-06,0,1,3,0.4625,126,2468,2594,18.962500000000002,Medium
2011-12-07,0,1,3,0.41,50,655,705,16.81,Medium
2011-12-08,0,1,1,0.265833,150,3172,3322,10.899153,Low
2011-12-09,0,1,1,0.290833,261,3359,3620,11.924153,Low
2011-12-10,0,0,1,0.275,502,2688,3190,11.275,Low
2011-12-11,0,0,1,0.220833,377,2366,2743,9.054153,Low
2011-12-12,0,1,1,0.238333,143,3167,3310,9.771652999999999,Low
2011-12-13,0,1,1,0.2825,155,3368,3523,11.5825,Low
2011-12-14,0,1,2,0.3175,178,3562,3740,13.0175,Low
2011-12-15,0,1,2,0.4225,181,3528,3709,17.322499999999998,Medium
2011-12-16,0,1,2,0.375,178,3399,3577,15.375,Medium
2011-12-17,0,0,2,0.258333,275,2464,2739,10.591652999999999,Low
2011-12-18,0,0,1,0.238333,220,2211,2431,9.771652999999999,Low
2011-12-19,0,1,1,0.276667,260,3143,3403,11.343347,Low
2011-12-20,0,1,2,0.385833,216,3534,3750,15.819153,Medium
2011-12-21,0,1,2,0.428333,107,2553,2660,17.561653,Medium
2011-12-22,0,1,2,0.423333,227,2841,3068,17.356653,Medium
2011-12-23,0,1,1,0.373333,163,2046,2209,15.306653,Medium
2011-12-24,0,0,1,0.3025,155,856,1011,12.4025,Low
2011-12-25,0,0,1,0.274783,303,451,754,11.266103,Low
2011-12-26,1,0,1,0.321739,430,887,1317,13.191299,Low
2011-12-27,0,1,2,0.325,103,1059,1162,13.325000000000001,Low
2011-12-28,0,1,1,0.29913,255,2047,2302,12.264330000000001,Low
2011-12-29,0,1,1,0.248333,254,2169,2423,10.181653,Low
2011-12-30,0,1,1,0.311667,491,2508,2999,12.778347000000002,Low
2011-12-31,0,0,1,0.41,665,1820,2485,16.81,Medium
2012-01-01,0,0,1,0.37,686,1608,2294,15.17,Medium
